"snippet","data_ref","x","y","bar","bar_moment"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:45:17",13.606,8.318,0.0,"0"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:45:21",17.044,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:45:25",20.232,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:3",23.837,8.318,1.0,"1/2"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:7",26.25,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:11",31.077,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:16",33.521,8.318,"",""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:22",35.334,8.318,"",""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:28",37.748,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:46:34",42.575,8.318,"",""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:47:3",46.18,8.318,2.0,"3/2"
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:47:13",61.687,8.318,"",""
"c''","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:48:3",65.308,8.318,3.0,"5/2"
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:48:8",67.743,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:48:14",70.505,8.318,"",""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:48:19",74.498,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:49:3",78.726,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:49:9",83.487,8.318,"",""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:49:14",87.213,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:50:3",90.818,8.318,4.0,"7/2"
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:51:3",106.462,8.318,5.0,"9/2"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:51:9",113.2,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:51:14",116.113,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:51:18",118.526,8.318,"",""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:51:27",124.553,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:3",128.159,8.318,6.0,"11/2"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:8",130.892,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:13",135.719,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:21",138.15,8.318,"",""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:30",140.582,8.318,"",""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:52:39",146.608,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:3",150.213,8.318,7.0,"13/2"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:8",153.842,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:12",158.245,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:18",161.99,8.318,"",""
"c'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:25",165.634,8.318,"",""
"c'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:29",168.23,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:53:33",173.244,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:54:3",176.848,8.318,8.0,"15/2"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:3",192.493,8.318,9.0,"17/2"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:8",196.142,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:12",199.565,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:18",203.821,8.318,"",""
"c'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:25",209.055,8.318,"",""
"c''","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:55:29",212.668,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:56:3",217.473,8.318,10.0,"19/2"
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:56:12",233.696,8.318,"",""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:57:3",237.301,8.318,11.0,"21/2"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:57:9",240.914,8.318,"",""
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:57:17",243.327,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:57:24",245.741,8.318,"",""
"bes'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:58:3",251.768,8.318,"",""
"a","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:59:3",255.466,8.318,12.0,"23/2"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:59:8",259.08,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:59:15",261.493,8.318,"",""
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:59:23",263.907,8.318,"",""
"ges'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:60:3",272.324,8.318,13.0,"25/2"
"f'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:60:11",275.938,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:60:18",279.551,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:60:24",285.578,8.318,"",""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:61:3",289.182,8.318,14.0,"27/2"
"des'","/mnt/e/projects/partitur-data/__unpublished/BK_02/BK_02_ly_main.ly:61:8",295.149,8.318,"",""
