"pitch","midi","channel","on_tick","off_tick"
"e",52,5,0,192
"e",52,4,0,192
"e'",64,2,0,192
"e'",64,1,0,192
"fis",54,5,192,384
"fis",54,4,192,384
"fis'",66,2,192,384
"fis'",66,1,192,384
"g",55,5,384,576
"g",55,4,384,576
"g'",67,2,384,576
"g'",67,1,384,576
"g",55,5,576,768
"b",59,4,576,768
"e'",64,2,576,768
"e'",64,1,576,768
"e",52,5,768,1152
"a",57,4,768,1152
"cis'",61,2,768,1152
"cis'",61,1,768,1152
"a,",45,5,1152,1536
"a",57,4,1152,1536
"e'",64,2,1152,1536
"cis''",73,1,1152,1536
"d",50,5,1536,2688
"a",57,4,1536,2688
"fis'",66,2,1536,2688
"a'",69,1,1536,2688
"cis''",73,0,1728,2112
"b'",71,0,2112,2208
"a'",69,0,2208,2688
"d",50,5,2880,3072
"d'",62,4,2880,3072
"fis'",66,2,2880,3072
"a'",69,1,2880,3072
"d''",74,0,2880,3072
"g",55,5,3072,3456
"d'",62,4,3072,3456
"g'",67,2,3072,3456
"b'",71,1,3072,3456
"b'",71,0,3072,3456
"g",55,5,3456,3840
"b",59,4,3456,3648
"e'",64,2,3456,3648
"e'",64,1,3456,3648
"b'",71,0,3456,3648
"a",57,4,3648,3840
"d'",62,2,3648,3840
"fis'",66,1,3648,3840
"a'",69,0,3648,3744
"g'",67,0,3744,3840
"g",55,5,3840,4416
"a",57,4,3840,4416
"cis'",61,2,3840,4416
"g'",67,1,3840,4416
"g'",67,0,3840,4416
"g",55,5,4416,4608
"b",59,4,4416,4608
"d'",62,2,4416,4608
"b'",71,1,4416,4608
"b'",71,0,4416,4608
"fis",54,5,4608,4992
"cis'",61,4,4608,4992
"cis'",61,2,4608,4992
"a'",69,1,4608,4992
"a'",69,0,4608,4992
"fis",54,5,4992,5376
"a",57,4,4992,5376
"cis'",61,2,4992,5376
"fis'",66,1,4992,5184
"b'",71,1,4992,5184
"fis'",66,0,4992,5184
"e'",64,1,5184,5376
"cis''",73,1,5184,5376
"a'",69,0,5184,5280
"fis'",66,0,5280,5328
"e'",64,0,5328,5376
"b,",47,5,5376,6144
"fis",54,4,5376,6144
"b",59,2,5376,6144
"d'",62,1,5376,6144
"d''",74,1,5376,6144
"d'",62,0,5376,6144
