"snippet","data_ref","x","y","tied_data_refs"
"e","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:99:3",10.492,37.529,""
"g","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:82:3",10.492,31.384,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:65:3",10.492,22.887,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:45:3",10.492,16.412,""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:28:3",10.492,6.915,""
"e","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:99:6",14.106,37.529,""
"b","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:82:6",14.106,31.384,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:65:6",14.106,22.887,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:45:7",14.106,16.412,""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:28:7",14.106,6.915,""
"fis'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:65:13",16.519,22.887,""
"b'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:45:14",16.519,16.412,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:28:13",16.519,6.915,""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:99:9",20.499,37.529,""
"d'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:82:9",20.499,31.384,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:65:22",20.499,22.887,""
"g'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:28:19",20.499,6.915,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:47:4",22.777,19.708,""
"d''","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:47:7",22.777,16.785,""
"a,","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:99:13",27.059,37.529,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:82:14",27.059,31.384,""
"e'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:65:26",27.059,22.887,""
"a'","/mnt/e/projects/partitur-data/__unpublished/BK_10/BK_10_ly_main.ly:47:14",30.066,19.708,""
