"snippet","data_ref","x","y","tied_data_refs"
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:91:3",11.258,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:70:3",11.258,24.096,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:49:3",11.258,16.072,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:28:3",11.258,8.047,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:91:9",14.794,32.072,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:49:12",14.794,16.072,""
"fis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:28:108",14.794,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:91:15",17.129,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:49:19",17.129,16.072,""
"fis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:91:23",19.464,32.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:70:7",19.464,24.096,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:49:25",19.464,16.072,""
"cis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:28:115",19.464,8.047,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:70:15",21.8,24.096,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:70:19",24.135,24.096,""
"e''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:49:34",24.135,16.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:70:28",26.47,24.096,""
"dis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:28:126",26.47,8.047,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:92:3",30.001,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:71:3",30.001,24.096,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:50:3",30.001,16.072,""
"dis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:29:3",30.001,8.047,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:50:10",32.336,16.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:92:7",34.671,32.072,""
"fis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:50:17",34.671,16.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:92:13",37.006,32.072,""
"e''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:50:27",37.006,16.072,""
"fis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:92:19",39.616,32.072,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:50:35",39.616,16.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:71:14",44.286,24.096,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:29:18",44.286,8.047,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:71:21",46.622,24.096,""
"cis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:29:26",46.622,8.047,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:93:3",50.163,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:72:3",50.163,24.096,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:51:3",50.163,16.072,""
"dis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:30:3",50.163,8.047,""
"fis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:93:12",56.033,32.072,""
"fis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:51:13",56.033,16.072,""
"eis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:93:20",58.369,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:72:7",58.369,24.096,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:51:22",58.369,16.072,""
"gis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:30:11",58.369,8.047,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:72:13",60.704,24.096,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:72:20",63.039,24.096,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:30:20",63.039,8.047,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:72:27",65.374,24.096,""
"fis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:3",68.904,32.072,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:73:3",68.904,24.096,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:3",68.904,16.072,""
"cis'''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:31:3",68.904,8.047,""
"eis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:9",71.797,32.072,""
"cis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:10",71.797,16.072,""
"fis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:15",74.132,32.072,""
"dis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:17",74.132,16.072,""
"gis'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:24",76.468,32.072,""
"eis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:27",76.468,16.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:33",78.803,32.072,""
"fis''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:37",78.803,16.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:39",83.474,32.072,""
"b'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:73:17",83.474,24.096,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:52:44",83.474,16.072,""
"b''","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:31:18",83.474,8.047,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:94:43",85.809,32.072,""
"ais'","/home/henri/projects/partitur-data/TMK_02/TMK_02_ly_main.ly:73:21",85.809,24.096,""
