"snippet","data_ref","x","y","bar","bar_moment"
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:48:3",11.292,12.559,1.0,"0"
"b'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:48:48",14.827,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:48:54",17.162,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:48:61",25.368,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:49:3",29.911,12.559,2.0,"1"
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:49:10",33.446,12.559,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:49:15",36.086,12.559,"",""
"ais'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:50:6",50.221,12.559,3.0,"2"
"b'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:50:12",52.556,12.559,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:50:16",55.136,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:50:24",62.338,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:51:3",65.868,12.559,4.0,"3"
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:51:10",68.204,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:51:24",79.944,12.559,"",""
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:51:32",81.972,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:52:3",84.91,12.559,5.0,"4"
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:52:12",91.98,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:52:20",97.851,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:53:3",101.38,12.559,6.0,"5"
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:53:15",103.715,12.559,"",""
"gis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:53:36",106.051,12.559,"",""
"gis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:53:45",115.521,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:54:3",119.05,12.559,7.0,"6"
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:54:11",123.805,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:54:18",125.551,12.559,"",""
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:54:26",130.306,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:58:3",133.066,12.559,8.0,"7"
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:65:3",150.198,12.559,9.0,"8"
"b'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:65:121",154.933,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:65:125",157.269,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:65:132",165.474,12.559,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:66:3",169.3,12.559,10.0,"9"
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:66:10",172.654,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:66:17",174.669,12.559,"",""
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:6",188.362,12.559,11.0,"10"
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:13",190.697,12.559,"",""
"cis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:22",193.032,12.559,"",""
"dis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:29",195.368,12.559,"",""
"e''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:37",198.723,12.559,"",""
"ais''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:67:47",202.805,12.559,"",""
"fis''","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:68:3",206.4,12.559,12.0,"11"
"dis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:85:13",216.306,21.559,"",""
"e'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:85:25",218.052,21.559,"",""
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:109:3",220.981,29.678,13.0,"12"
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:86:16",220.981,21.559,13.0,"12"
"fis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:109:9",224.831,29.678,"",""
"fisis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:109:15",228.431,29.678,"",""
"fisis'","/mnt/e/projects/partitur-data/TMK_04/TMK_04_ly_main.ly:86:34",228.431,21.559,"",""
