"pitch","midi","channel","on_tick","off_tick"
"b'",71,4,0,768
"b'",71,3,0,384
"dis''",75,2,0,384
"b''",83,1,0,384
"ais'",70,4,384,576
"cis''",73,2,384,576
"fis''",78,1,384,768
"gis'",68,4,576,768
"b'",71,2,576,768
"fis'",66,4,768,1536
"ais'",70,3,768,960
"cis''",73,2,768,1152
"cis'''",85,1,768,1344
"b'",71,3,960,1152
"cis''",73,3,1152,1344
"e''",76,2,1152,1536
"ais'",70,3,1344,1536
"dis'''",87,1,1344,1536
"b",59,4,1536,1728
"b'",71,3,1536,2496
"dis''",75,2,1536,1728
"dis'''",87,1,1536,2496
"b",59,4,1728,1920
"dis''",75,2,1728,1920
"dis'",63,4,1920,2112
"fis''",78,2,1920,2112
"cis'",61,4,2112,2304
"e''",76,2,2112,2304
"b",59,4,2304,2880
"dis''",75,2,2304,2880
"b'",71,3,2688,2880
"b''",83,1,2688,2880
"cis''",73,3,2880,3072
"cis'''",85,1,2880,3072
"gis'",68,4,3072,3648
"dis''",75,3,3072,3840
"dis''",75,2,3072,3648
"dis'''",87,1,3072,3840
"fis'",66,4,3648,3840
"fis''",78,2,3648,3840
"f'",65,4,3840,4608
"dis''",75,3,3840,4032
"gis''",80,2,3840,4608
"gis''",80,1,3840,4224
"cis''",73,3,4032,4224
"dis''",75,3,4224,4416
"b''",83,1,4224,4608
"b'",71,3,4416,4608
"fis'",66,4,4608,4800
"cis''",73,3,4608,4992
"cis''",73,2,4608,4800
"cis'''",85,1,4608,5568
"f'",65,4,4800,4992
"cis''",73,2,4800,5568
"fis'",66,4,4992,5184
"dis''",75,2,4992,5184
"gis'",68,4,5184,5376
"f''",77,2,5184,5376
"ais'",70,4,5376,5760
"fis''",78,2,5376,5760
"b'",71,4,5760,5952
"b'",71,3,5760,5952
"b''",83,2,5760,5952
"b''",83,1,5760,5952
"ais'",70,4,5952,6144
"ais'",70,3,5952,6144
"ais''",82,2,5952,6144
"ais''",82,1,5952,6144
"gis'",68,4,6144,6720
"gis'",68,3,6144,6720
"gis''",80,2,6144,6720
"gis''",80,1,6144,6720
"gis'",68,4,6720,6912
"gis'",68,3,6720,6912
"gis''",80,2,6720,6912
"gis''",80,1,6720,6912
"gis'",68,4,6912,7104
"gis'",68,3,6912,7104
"gis''",80,2,6912,7104
"gis''",80,1,6912,7104
"ais'",70,4,7104,7296
"ais'",70,3,7104,7296
"ais''",82,2,7104,7296
"ais''",82,1,7104,7296
"b'",71,4,7296,7488
"b'",71,3,7296,7488
"b''",83,2,7296,7488
"b''",83,1,7296,7488
"gis'",68,4,7488,7680
"gis'",68,3,7488,7680
"gis''",80,2,7488,7680
"gis''",80,1,7488,7680
