"pitch","midi","channel","on_tick","off_tick"
"cis''",73,2,0,384
"b'",71,2,384,576
"dis''",75,2,576,1344
"dis''",75,2,1344,1536
"dis''",75,2,1536,1920
"e''",76,2,1920,2112
"cis''",73,2,2112,3072
"ais'",70,2,3456,3648
"b'",71,2,3648,3840
"cis''",73,2,3840,4416
"fis''",78,2,4416,4608
"fis''",78,2,4608,4800
"dis''",75,2,4800,5760
"dis''",75,2,5952,6048
"e''",76,2,6048,6144
"fis''",78,2,6144,6912
"fis''",78,2,6912,7488
"fis''",78,2,7488,7680
"fis''",78,2,7680,7872
"e''",76,2,7872,8064
"gis'",68,2,8064,8832
"gis''",80,2,9024,9216
"fis''",78,2,9216,9792
"cis''",73,2,9792,9984
"fis''",78,2,9984,10560
"e''",76,2,10560,10752
"dis''",75,2,10752,11904
"cis'",61,4,12288,12672
"b",59,4,12672,12864
"dis'",63,4,12864,13632
"dis'",63,4,13632,13824
"cis'",61,4,13824,14208
"fis'",66,4,14208,14400
"fis'",66,4,14400,15360
"e'",64,4,15744,15936
"dis'",63,4,15936,16128
"cis'",61,4,16128,16320
"dis'",63,4,16320,16416
"e'",64,4,16416,16704
"ais'",70,4,16704,16896
"fis'",66,4,16896,18048
"dis'",63,3,18240,18336
"e'",64,3,18336,18432
"fis'",66,4,18432,19200
"fis'",66,3,18432,18816
"fis'",66,4,18816,19200
"g'",67,4,19200,19584
"g'",67,3,19200,19584
"g'",67,4,19584,19968
"dis''",75,3,19584,19776
"cis''",73,3,19776,19968
"gis'",68,4,19968,20352
"cis''",73,3,19968,20160
"b'",71,3,20160,20352
"e'",64,4,20352,20544
"gis'",68,3,20352,21120
"dis'",63,4,20544,20736
"e'",64,4,20736,21120
"e'",64,4,21312,21504
"gis'",68,3,21312,21504
"dis'",63,4,21504,21696
"fis'",66,3,21504,21696
"dis'",63,4,21696,22080
"fis'",66,3,21696,22080
"e'",64,4,22080,22272
"fis'",66,3,22080,22272
"fis'",66,4,22272,22848
"dis''",75,3,22272,22848
"fis'",66,4,22848,23040
"cis''",73,3,22848,23040
"b",59,4,23040,24192
"b'",71,3,23040,24192
"b'",71,4,24576,25344
"b'",71,3,24576,24960
"dis''",75,2,24576,24960
"b''",83,1,24576,24960
"ais'",70,4,24960,25152
"cis''",73,2,24960,25152
"fis''",78,1,24960,25344
"gis'",68,4,25152,25344
"b'",71,2,25152,25344
"fis'",66,4,25344,26112
"ais'",70,3,25344,25536
"cis''",73,2,25344,25728
"cis'''",85,1,25344,25920
"b'",71,3,25536,25728
"cis''",73,3,25728,25920
"e''",76,2,25728,26112
"ais'",70,3,25920,26112
"dis'''",87,1,25920,26112
"b'",71,4,26112,27072
"b'",71,3,26112,26496
"dis''",75,2,26112,26304
"dis'''",87,1,26112,27072
"dis''",75,2,26304,26496
"ais'",70,4,26496,26688
