"snippet","data_ref","x","y","tied_data_refs"
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:286:3",13.819,33.047,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:286:48",17.759,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:286:54",20.499,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:286:61",29.918,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:287:3",34.55,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:287:10",38.49,33.047,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:287:15",41.77,33.047,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:288:6",57.574,33.047,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:288:12",61.317,33.047,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:288:16",66.8,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:288:24",74.13,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:289:3",78.115,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:289:10",82.872,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:289:24",96.392,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:289:32",100.083,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:290:3",106.728,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:290:12",114.608,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:290:20",121.287,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:291:3",125.33,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:291:14",128.069,33.047,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:291:34",130.809,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:291:43",141.089,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:292:3",145.251,33.047,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:292:11",151.93,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:292:18",156.801,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:292:26",163.48,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:296:3",167.464,33.047,""
"cis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:498:3",183.84,56.626,""
"b","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:498:87",187.78,56.626,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:498:90",191.036,56.626,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:498:96",200.455,56.626,""
"cis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:499:3",204.44,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:499:11",208.379,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:499:19",211.119,56.626,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:6",226.923,56.626,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:10",232.807,56.626,""
"cis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:16",237.414,56.626,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:24",240.447,56.626,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:33",242.734,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:500:42",248.142,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:501:3",252.127,56.626,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:401:13",265.267,46.353,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:401:23",267.714,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:502:3",271.099,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:402:16",271.099,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:502:9",275.465,56.626,""
"fisis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:502:15",280.478,56.626,""
"fisis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:402:34",280.478,46.353,""
"fisis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:502:23",284.985,56.626,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:402:42",284.985,46.353,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:402:49",287.939,46.353,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:503:3",291.923,56.626,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:403:16",291.923,46.353,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:403:25",294.323,46.353,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:503:10",297.063,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:403:31",297.063,46.353,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:503:14",301.626,56.626,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:503:20",305.838,56.626,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:503:27",312.518,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:403:41",312.518,46.353,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:504:3",316.502,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:404:3",316.502,46.353,""
"dis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:504:9",319.242,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:404:9",319.242,46.353,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:504:15",325.288,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:404:15",325.288,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:504:19",328.656,56.626,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:404:21",328.656,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:504:26",335.828,56.626,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:404:29",335.828,46.353,""
"b","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:505:3",339.91,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:408:3",339.91,46.353,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:508:3",352.678,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:411:3",352.678,46.353,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:302:3",352.678,33.047,""
"b''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:207:3",352.678,22.671,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:508:9",356.618,56.626,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:302:12",356.618,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:207:85",356.618,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:508:15",359.358,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:302:19",359.358,33.047,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:508:23",362.098,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:411:7",362.098,46.353,""
